Search Query	 || 		Document with keyword	 || 	"total documents/appeared documents"	 || 	"log_10(N)"

Canada			 || 			67.0				 || 			9.388059701492537				 || 	0.9725758427444425
Moncton			 || 			12.0				 || 			52.416666666666664				 || 	1.719469399397644
Toronto			 || 			34.0				 || 			18.5							 || 	1.2671717284030137


Canada Appeared in 67 Documents	 || 	Total Words		 || 		Frequency

ARTICLE#235						 || 			64		 || 			0
ARTICLE#236						 || 			90		 || 			0
ARTICLE#237						 || 			99		 || 			0
ARTICLE#238						 || 			66		 || 			0
ARTICLE#239						 || 			99		 || 			0
ARTICLE#240						 || 			93		 || 			0
ARTICLE#241						 || 			99		 || 			0
ARTICLE#242						 || 			102		 || 			0
ARTICLE#243						 || 			27		 || 			1
ARTICLE#244						 || 			90		 || 			0
ARTICLE#245						 || 			29		 || 			1
ARTICLE#246						 || 			99		 || 			0
ARTICLE#247						 || 			84		 || 			0
ARTICLE#248						 || 			93		 || 			0
ARTICLE#249						 || 			105		 || 			0
ARTICLE#250						 || 			102		 || 			0
ARTICLE#251						 || 			81		 || 			0
ARTICLE#252						 || 			78		 || 			0
ARTICLE#253						 || 			96		 || 			0
ARTICLE#254						 || 			72		 || 			0
ARTICLE#255						 || 			108		 || 			0
ARTICLE#256						 || 			93		 || 			0
ARTICLE#257						 || 			90		 || 			0
ARTICLE#258						 || 			102		 || 			0
ARTICLE#259						 || 			96		 || 			0
ARTICLE#260						 || 			30		 || 			1
ARTICLE#261						 || 			102		 || 			0
ARTICLE#262						 || 			34		 || 			2
ARTICLE#263						 || 			99		 || 			0
ARTICLE#264						 || 			102		 || 			0
ARTICLE#265						 || 			96		 || 			0
ARTICLE#266						 || 			90		 || 			0
ARTICLE#267						 || 			31		 || 			2
ARTICLE#268						 || 			105		 || 			0
ARTICLE#269						 || 			90		 || 			0
ARTICLE#270						 || 			93		 || 			0
ARTICLE#271						 || 			93		 || 			0
ARTICLE#272						 || 			28		 || 			1
ARTICLE#273						 || 			96		 || 			0
ARTICLE#274						 || 			57		 || 			0
ARTICLE#275						 || 			90		 || 			0
ARTICLE#276						 || 			38		 || 			1
ARTICLE#277						 || 			74		 || 			0
ARTICLE#278						 || 			99		 || 			0
ARTICLE#279						 || 			105		 || 			0
ARTICLE#280						 || 			105		 || 			0
ARTICLE#281						 || 			87		 || 			0
ARTICLE#282						 || 			90		 || 			0
ARTICLE#283						 || 			81		 || 			0
ARTICLE#284						 || 			34		 || 			1
ARTICLE#285						 || 			33		 || 			1
ARTICLE#286						 || 			93		 || 			0
ARTICLE#287						 || 			114		 || 			0
ARTICLE#288						 || 			90		 || 			0
ARTICLE#289						 || 			96		 || 			0
ARTICLE#290						 || 			84		 || 			0
ARTICLE#291						 || 			33		 || 			1
ARTICLE#292						 || 			96		 || 			0
ARTICLE#293						 || 			96		 || 			0
ARTICLE#294						 || 			105		 || 			0
ARTICLE#295						 || 			105		 || 			0
ARTICLE#296						 || 			93		 || 			0
ARTICLE#297						 || 			81		 || 			0
ARTICLE#298						 || 			93		 || 			0
ARTICLE#299						 || 			96		 || 			0
ARTICLE#300						 || 			99		 || 			0
ARTICLE#301						 || 			108		 || 			0
ARTICLE#302						 || 			99		 || 			0
ARTICLE#303						 || 			93		 || 			0
ARTICLE#304						 || 			78		 || 			0
ARTICLE#305						 || 			111		 || 			0
ARTICLE#306						 || 			90		 || 			0
ARTICLE#307						 || 			96		 || 			0
ARTICLE#308						 || 			93		 || 			0
ARTICLE#309						 || 			96		 || 			0
ARTICLE#310						 || 			96		 || 			0
ARTICLE#311						 || 			93		 || 			0
ARTICLE#312						 || 			96		 || 			0
ARTICLE#313						 || 			96		 || 			0
ARTICLE#314						 || 			102		 || 			0
ARTICLE#315						 || 			108		 || 			0
ARTICLE#316						 || 			117		 || 			0
ARTICLE#317						 || 			114		 || 			0
ARTICLE#318						 || 			96		 || 			0
ARTICLE#319						 || 			105		 || 			0
ARTICLE#320						 || 			30		 || 			1
ARTICLE#321						 || 			93		 || 			0
ARTICLE#322						 || 			93		 || 			0
ARTICLE#323						 || 			99		 || 			0
ARTICLE#324						 || 			93		 || 			0
ARTICLE#325						 || 			102		 || 			0
ARTICLE#326						 || 			96		 || 			0
ARTICLE#327						 || 			108		 || 			0
ARTICLE#328						 || 			99		 || 			0
ARTICLE#329						 || 			102		 || 			0
ARTICLE#330						 || 			34		 || 			1
ARTICLE#331						 || 			93		 || 			0
ARTICLE#332						 || 			108		 || 			0
ARTICLE#333						 || 			30		 || 			1
ARTICLE#334						 || 			108		 || 			0
ARTICLE#335						 || 			96		 || 			0
ARTICLE#336						 || 			87		 || 			0
ARTICLE#337						 || 			102		 || 			0
ARTICLE#338						 || 			87		 || 			0
ARTICLE#339						 || 			114		 || 			0
ARTICLE#340						 || 			99		 || 			0
ARTICLE#341						 || 			84		 || 			0
ARTICLE#342						 || 			87		 || 			0
ARTICLE#343						 || 			99		 || 			0
ARTICLE#344						 || 			108		 || 			0
ARTICLE#345						 || 			81		 || 			0
ARTICLE#346						 || 			102		 || 			0
ARTICLE#347						 || 			87		 || 			0
